show_id,show_type_id,title,country,date_added,release_year,rating,description,duration_minutes,duration_seasons
1099,1,Mandela,India,"April 5, 2021",2021,TV-14,"Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",140.0,
1100,1,The Fisherman's Diary,Cameroon,"April 4, 2021",2020,TV-MA,"Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education",143.0,
1101,1,What Lies Below,United States,"April 4, 2021",2020,TV-MA,"Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.",88.0,
1102,1,Escape from Planet Earth,"United States, Canada","April 3, 2021",2013,PG,"This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure.",89.0,
1103,1,Accepted,United States,"April 2, 2021",2006,PG-13,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",93.0,
1104,1,Air Strike,China,"April 2, 2021",2018,R,The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.,97.0,
1105,1,An American Girl: McKenna Shoots for the Stars,"United States, Canada","April 2, 2021",2012,TV-Y,"A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back.",94.0,
1106,1,Concrete Cowboy,"United Kingdom, United States","April 2, 2021",2021,R,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",112.0,
1107,1,Cross: Rise of the Villains,United States,"April 2, 2021",2019,R,"Armed with a mighty ancient amulet, a team of weapons experts joins forces to defend Los Angeles from supervillains with explosive powers of their own.",100.0,
1108,1,God Calling,Nigeria,"April 2, 2021",2018,TV-MA,"The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology.",120.0,
1109,1,Irul,India,"April 2, 2021",2021,TV-MA,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",91.0,
1110,1,Just Say Yes,Netherlands,"April 2, 2021",2021,TV-MA,Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.,98.0,
1111,1,Madame Claude,France,"April 2, 2021",2021,TV-MA,"In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything.",113.0,
1112,1,Wild Child,"United States, United Kingdom, France","April 2, 2021",2008,PG-13,"Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act.",98.0,
1113,1,Woody Woodpecker,United States,"April 2, 2021",2017,PG,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.,91.0,
1114,1,2012,United States,"April 1, 2021",2009,PG-13,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",158.0,
1115,1,3 Idiots,India,"April 1, 2021",2009,PG-13,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",164.0,
1116,1,Ferrari Ki Sawaari,India,"April 1, 2021",2012,TV-PG,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,133.0,
1117,2,Glimpses of a Future,,"April 1, 2021",2020,TV-PG,"This docuseries celebrates the virtual collaborations between a group of artists, dancers and writers from around the world during the pandemic.",,
1118,1,Ibrahim a Fate to Define,"Lebanon, Palestine, Denmark, Qatar","April 1, 2021",2019,TV-PG,"Raised in a quiet home, Lina searches for answers while investigating the mystery behind her father's disappearance in this documentary.",75.0,
1119,1,Insidious,"United States, Canada","April 1, 2021",2010,PG-13,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",103.0,
1120,1,Into the Grizzly Maze,"United States, Canada","April 1, 2021",2015,R,Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.,90.0,
1121,1,Kingsglaive: Final Fantasy XV,"Japan, United States","April 1, 2021",2016,PG-13,King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.,116.0,
1122,1,Legally Blonde,United States,"April 1, 2021",2001,PG-13,"When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.",96.0,
1123,1,Madam Chief Minister,India,"April 1, 2021",2020,TV-14,"Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.",121.0,
1124,2,Magical Andes,"Uruguay, Germany","April 1, 2021",2021,TV-G,"From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",,2.0
1125,1,Maximum Risk,United States,"April 1, 2021",1996,R,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance.",101.0,
1126,2,Murder Maps,United Kingdom,"April 1, 2021",2017,TV-MA,Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,,2.0
1127,1,My Fair Lady,United States,"April 1, 2021",1964,G,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",173.0,
1128,2,Prank Encounters,United States,"April 1, 2021",2021,TV-MA,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,,2.0
1129,1,S.W.A.T.: Under Siege,United States,"April 1, 2021",2017,R,"When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.",89.0,
1130,2,Secrets of Great British Castles,United Kingdom,"April 1, 2021",2016,TV-PG,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,,2.0
1131,1,Seven Souls in the Skull Castle: Season Bird,,"April 1, 2021",2017,TV-14,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Bird” version of the dynamic show performed in a 360º theater.",182.0,
1132,1,Seven Souls in the Skull Castle: Season Flower,Japan,"April 1, 2021",2017,TV-14,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater.",181.0,
1133,1,Seven Souls in the Skull Castle: Season Wind,,"April 1, 2021",2017,TV-14,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Wind” version of the dynamic show performed in a 360º theater.",185.0,
1134,1,Sniper: Ghost Shooter,United States,"April 1, 2021",2016,R,Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.,99.0,
1135,1,Starship Troopers: Traitor of Mars,"United States, Japan","April 1, 2021",2017,R,"When a corrupt official plans to sabotage the planet Mars, it’s up to Rico and a group of fresh recruits to fend off a surprise bug attack on their own.",88.0,
1136,1,Takers,United States,"April 1, 2021",2010,PG-13,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.,107.0,
1137,1,Tersanjung the Movie,Indonesia,"April 1, 2021",2021,TV-14,"After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis.",114.0,
1138,1,The Knight and the Princess,"Egypt, Saudi Arabia","April 1, 2021",2019,TV-PG,"A fictional account of the heroic quests of a 7th-century knight, from rescuing hostages abducted by pirates in the Indian Sea to taking on a tyrant.",96.0,
1139,1,The Pianist,"United Kingdom, France, Poland, Germany, United States","April 1, 2021",2002,R,Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.,149.0,
1140,1,The Stepfather,United States,"April 1, 2021",2009,PG-13,A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.,102.0,
1141,1,Universal Soldier: The Return,United States,"April 1, 2021",1999,R,An ex-Universal Soldier working to design smarter cyborg warriors discovers that the supercomputer controlling the soldiers has a sinister agenda.,83.0,
1142,1,Wazir,India,"April 1, 2021",2016,TV-14,"Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined.",98.0,
1143,1,White Boy,United States,"April 1, 2021",2017,TV-MA,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant.",83.0,
1144,2,Worn Stories,United States,"April 1, 2021",2021,TV-MA,"In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",,
1145,1,Yes Man,"United States, United Kingdom","April 1, 2021",2008,PG-13,"After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year.",104.0,
1146,1,At Eternity's Gate,"Ireland, Switzerland, United Kingdom, France, United States","March 31, 2021",2018,PG-13,Wild artistic inspiration and emotional turmoil fill painter Vincent van Gogh's last years as he struggles to bring his unique vision to the world.,111.0,
1147,2,Haunted: Latin America,"United States, Mexico","March 31, 2021",2021,TV-14,"Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",,
1148,1,Not a Game,United Kingdom,"March 31, 2021",2020,TV-MA,"This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents.",98.0,
1149,2,Robocar Poli,South Korea,"March 31, 2021",2015,TV-Y,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",,2.0
1150,2,Yu-Gi-Oh!,Japan,"March 31, 2021",2005,TV-Y7,"The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality.",,
1151,1,7 Yards: The Chris Norton Story,United States,"March 30, 2021",2021,TV-PG,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",93.0,
1152,1,Octonauts & the Ring of Fire,"China, United Kingdom","March 30, 2021",2021,TV-Y,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet.",73.0,
1153,2,Rainbow High,United States,"March 30, 2021",2020,TV-Y,"The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High.",,
1154,1,Mandela: Long Walk to Freedom,"United Kingdom, South Africa, France","March 29, 2021",2013,PG-13,This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.,141.0,
1155,1,Lawless,United States,"March 28, 2021",2012,R,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes.",116.0,
1156,1,Marked,Nigeria,"March 28, 2021",2021,TV-PG,"This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",21.0,
1157,1,A Week Away,United States,"March 26, 2021",2021,TV-PG,"In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong.",98.0,
1158,1,Bad Trip,United States,"March 26, 2021",2021,TV-MA,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics.",87.0,
1159,2,Big Time Rush,United States,"March 26, 2021",2013,TV-G,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",,4.0
1160,1,Black Is Beltza,,"March 26, 2021",2018,TV-MA,A young Basque man is radicalized in 1960s America after being forbidden from participating in a parade on racial grounds.,87.0,
1161,1,Croupier,"Ireland, United Kingdom, France, Germany","March 26, 2021",1998,TV-MA,"A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist.",95.0,
1162,1,Elizabeth and Margaret: Love and Loyalty,United Kingdom,"March 26, 2021",2020,TV-PG,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret.",87.0,
1163,1,Keeping the Bees,Turkey,"March 26, 2021",2020,TV-14,Ayşe returns from Germany to her Black Sea hometown and sets out to fulfill her mom's dying wish — to care for her beloved bee farms.,93.0,
1164,2,Magic for Humans Spain,Spain,"March 26, 2021",2021,TV-MA,"In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",,
1165,1,Ni de coña,Spain,"March 26, 2021",2020,TV-MA,"Trying to fix their relationships, four couples attend a spiritual retreat at a Caribbean resort, where temptation and mishaps add problems to the mix.",97.0,
1166,1,Pagglait,India,"March 26, 2021",2021,TV-PG,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",114.0,
1167,2,The Irregulars,United Kingdom,"March 26, 2021",2021,TV-14,"A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes.",,
1168,1,Caught by a Wave,Italy,"March 25, 2021",2021,TV-14,"After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision.",100.0,
1169,2,DOTA: Dragon's Blood,United States,"March 25, 2021",2021,TV-MA,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.,,
1170,2,Pui Pui Molcar,Japan,"March 25, 2021",2021,TV-Y7,They’re guinea pigs! And they’re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.,,
1171,1,Secret Magic Control Agency,"Russia, United States","March 25, 2021",2021,TV-Y7,"Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king.",105.0,
1172,1,Seaspiracy,United States,"March 24, 2021",2021,TV-14,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers alarming global corruption.",90.0,
1173,1,Loyiso Gola: Unlearning,South Africa,"March 23, 2021",2021,TV-MA,"South African comedian Loyiso Gola serves up filter-free humor as he riffs about race, identity, politics, and a school prank gone embarrassingly wrong!",60.0,
1174,2,Men on a Mission,South Korea,"March 23, 2021",2021,TV-14,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",,6.0
1175,2,Navillera,South Korea,"March 23, 2021",2021,TV-14,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,,
1176,1,Philomena,"United Kingdom, United States, France","March 22, 2021",2013,PG-13,A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.,98.0,
1177,1,Any Crybabies Around?,Japan,"March 20, 2021",2020,TV-MA,An immature young father in Akita becomes an outcast in his community after a media incident. Two years later he returns to ineptly try to make amends.,108.0,
1178,1,Hospital,Taiwan,"March 20, 2021",2020,TV-MA,"In an abandoned hospital in Tainan, visitors seeking to communicate with their relatives' spirits are haunted by disturbing, supernatural occurrences.",90.0,
1179,1,Jiu Jitsu,United States,"March 20, 2021",2020,R,"After the defeat of a celebrated war hero, an ancient order of fighters battles powerful space invaders as the fate of humanity hangs in the balance.",102.0,
1180,2,Mighty Morphin Power Rangers,"United States, Japan","March 20, 2021",2010,TV-Y7,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.",,4.0
1181,2,Alien TV,,"March 19, 2021",2021,TV-Y7,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",,2.0
1182,2,Country Comfort,United States,"March 19, 2021",2021,TV-PG,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children.",,
1183,2,Formula 1: Drive to Survive,United Kingdom,"March 19, 2021",2021,TV-MA,"Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.",,3.0
1184,1,Reframe THEATER EXPERIENCE with you,,"March 19, 2021",2020,TV-G,"Perfume's Reframe 2019 concert, performed to great effect in the newly reconstructed Line Cube Shibuya, is recreated as a high-tech concert film.",84.0,
1185,1,The Yin Yang Master,China,"March 19, 2021",2021,TV-14,"A feud erupts between realms, and Yin Yang master Qing Ming teams up with disgraced guard Yuan Boya to vanquish a demonic threat as a conspiracy looms.",120.0,
1186,1,Who's the Boss,Nigeria,"March 19, 2021",2020,TV-MA,"A young, overworked ad executive with an overbearing boss starts her own side hustle and invents an employer once her business begins to flourish.",106.0,
1187,2,B: The Beginning,Japan,"March 18, 2021",2021,TV-MA,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",,2.0
1188,1,Deadly Illusions,United States,"March 18, 2021",2021,R,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",115.0,
1189,1,Get the Goat,Brazil,"March 18, 2021",2021,TV-14,"Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot.",98.0,
1190,1,Nate Bargatze: The Greatest Average American,United States,"March 18, 2021",2021,TV-G,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special.",60.0,
1191,1,Skylines,"United Kingdom, United States","March 18, 2021",2020,R,"When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good.",113.0,
1192,1,The Fluffy Movie,United States,"March 18, 2021",2014,PG-13,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations.",101.0,
1193,1,The Present,"United Kingdom,","March 18, 2021",2020,TV-MA,"Yusuf and his daughter set out to buy his wife an anniversary gift, a gesture demanding much patience and negotiation skills in the West Bank.",24.0,
1194,1,Wave of Cinema: 90's Generation,,"March 18, 2021",2020,TV-PG,"Walk down memory lane and experience the soundtrack to beloved film ""Generasi 90an: Melankolia"" through nostalgic performances.",51.0,
1195,1,Catch.er,Nigeria,"March 17, 2021",2017,TV-14,"A man becomes the prime suspect in his wife's murder, but the police investigation soon widens to other potential culprits with hidden motives.",80.0,
1196,1,Operation Varsity Blues: The College Admissions Scandal,United States,"March 17, 2021",2021,R,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.,100.0,
1197,2,Under Suspicion: Uncovering the Wesphael Case,Belgium,"March 17, 2021",2021,TV-14,"This docuseries follows the high-profile case of Belgian politician Bernard Wesphael, who was accused of murdering his wife in 2013.",,
1198,1,Get on Up,"United Kingdom, United States","March 16, 2021",2014,PG-13,Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.,139.0,
1199,1,RebellComedy: Straight Outta the Zoo,Germany,"March 16, 2021",2021,TV-MA,"The comics of RebellComedy take the stage and tackle mistaken identities, geriatric influencers, our flawed perceptions of animals and more.",74.0,
1200,1,Savages,United States,"March 16, 2021",2012,R,"With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover.",131.0,
1201,2,Waffles + Mochi,United States,"March 16, 2021",2021,TV-Y,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,,
1202,2,Abla Fahita: Drama Queen,Egypt,"March 15, 2021",2021,TV-14,"Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",,
1203,1,C/O Kaadhal,India,"March 15, 2021",2021,TV-14,"Cutting across conventions and expectations, four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”",131.0,
1204,1,The BFG,"United States, India, United Kingdom","March 15, 2021",2016,PG,A little orphan meets up with a kind giant who's supposed to eat her but instead protects her from some truly horrible giants who terrorize them both.,118.0,
1205,1,The Last Blockbuster,United States,"March 15, 2021",2020,TV-14,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive.",87.0,
1206,2,The Lost Pirate Kingdom,"United States, United Kingdom","March 15, 2021",2021,TV-MA,The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.,,
1207,2,Zero Chill,United Kingdom,"March 15, 2021",2021,TV-G,"Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",,
1208,1,Audrey,,"March 14, 2021",2020,TV-14,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else.",101.0,
1209,1,Çarsi Pazar,Turkey,"March 12, 2021",2015,TV-MA,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,97.0,
1210,1,Just In Time,Kenya,"March 12, 2021",2020,TV-G,A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.,92.0,
1211,2,Love Alarm,South Korea,"March 12, 2021",2021,TV-MA,"In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",,2.0
1212,1,Mucize,Turkey,"March 12, 2021",2015,TV-14,"Sent away from his family to a remote mountain town, teacher Mahir helps the villagers build a school – and inspires a path to hope for them all.",136.0,
1213,1,Paper Lives,Turkey,"March 12, 2021",2021,TV-MA,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",97.0,
1214,2,Paradise PD,United States,"March 12, 2021",2021,TV-MA,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",,3.0
1215,1,Quiet,,"March 12, 2021",2020,TV-MA,The lives of three Chilean teenage misfits converge as they try to find their place in an unequal society through hip-hop and lasting friendships.,103.0,
1216,1,Romantik Komedi,Turkey,"March 12, 2021",2010,TV-MA,"Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures.",110.0,
1217,1,Romantik Komedi 2: Bekarlığa Veda,Turkey,"March 12, 2021",2013,TV-MA,"Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party.",105.0,
1218,2,The One,United Kingdom,"March 12, 2021",2021,TV-MA,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",,
1219,1,YES DAY,United States,"March 12, 2021",2021,PG,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,90.0,
1220,1,You're Everything To Me,Turkey,"March 12, 2021",2016,TV-PG,"When an old fling shows up with their infant child, a dallying man-child must take on the role of father and create a fairytale world for his daughter.",107.0,
1221,1,Coven of Sisters,"Spain, Argentina","March 11, 2021",2021,TV-MA,"Basque Country, 1609. To postpone their execution, a group of women accused of witchcraft lure their inquisitor into witnessing the witches' Sabbath.",92.0,
1222,1,Generasi 90an: Melankolia,Indonesia,"March 11, 2021",2020,TV-14,"After the devastating loss of a loved one, Abby forms a bond with his sister's best friend as he struggles to move on.",94.0,
1223,1,The Block Island Sound,United States,"March 11, 2021",2020,TV-MA,"On an island, a fisherman's family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger.",99.0,
1224,2,Dealer,France,"March 10, 2021",2021,TV-MA,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,,
1225,2,Last Chance U: Basketball,,"March 10, 2021",2021,TV-MA,“Last Chance U” hits the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,,
1226,2,Marriage or Mortgage,,"March 10, 2021",2021,TV-G,A wedding planner and a real estate agent compete to win the hearts and budgets of spouses-to-be. Will they pick fairy-tale nuptials or a dream home?,,
1227,2,The Houseboat,Germany,"March 9, 2021",2021,TV-14,"With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space.",,
1228,2,Bombay Begums,India,"March 8, 2021",2021,TV-MA,"From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",,
1229,1,Bombay Rose,"India, United Kingdom, France, Qatar","March 8, 2021",2021,PG-13,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested.",97.0,
1230,2,My Way,Egypt,"March 6, 2021",2015,TV-14,"In the 1970s, an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices.",,
1231,1,Aelay,India,"March 5, 2021",2021,TV-14,"A son stoically returns to his village upon his father’s death, recalling their chilly dynamic before a bizarre event disrupts his visit.",151.0,
1232,2,City of Ghosts,United States,"March 5, 2021",2021,TV-Y7,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",,
1233,1,Dogwashers,Colombia,"March 5, 2021",2021,TV-MA,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?",108.0,
1234,1,Fate of Alakada,Nigeria,"March 5, 2021",2020,TV-14,"Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash.",113.0,
1235,2,Nevenka: Breaking the Silence,Spain,"March 5, 2021",2021,TV-MA,"Nevenka Fernández, the plaintiff in Spain's first successful lawsuit against a politician for sexual harassment, breaks her silence after 20 years.",,
1236,2,Pokémon Journeys: The Series,,"March 5, 2021",2021,TV-Y7,"Young trainer Ash and his new friend Goh become research fellows at Professor Cerise's laboratory, traveling all over the world to learn about Pokémon.",,4.0
1237,1,Sentinelle,France,"March 5, 2021",2021,TV-MA,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",81.0,
1238,1,Mariposa,Indonesia,"March 4, 2021",2020,TV-14,"New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure.",116.0,
1239,2,Pacific Rim: The Black,"United States, Australia","March 4, 2021",2021,TV-14,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.",,
1240,1,Parker,United States,"March 4, 2021",2013,R,"Parker is a thief – but he has scruples. So when his crew double-crosses him, Parker teams up with an unlikely partner to even the score.",119.0,
1241,1,Safe Haven,United States,"March 4, 2021",2013,PG-13,"When a mysterious woman arrives in a small North Carolina town, she begins a new life but remains haunted by a terrifying secret.",116.0,
1242,1,Moxie,United States,"March 3, 2021",2021,PG-13,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",112.0,
1243,2,Murder Among the Mormons,United States,"March 3, 2021",2021,TV-14,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,,
1244,1,Black or White,United States,"March 2, 2021",2014,PG-13,A widowed lawyer struggles to retain custody of his biracial granddaughter when the girl's paternal grandmother questions his competence.,121.0,
1245,1,Indoo Ki Jawani,India,"March 2, 2021",2020,TV-14,"A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.",115.0,
1246,2,Word Party,United States,"March 2, 2021",2021,TV-Y,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!",,5.0
1247,2,A Perfect Day For Arsenide,,"March 1, 2021",2019,TV-MA,"An eclectic group of people encounters zany situations in this anthology of surreal, offbeat tales from Hong Kong. Based on Mr. Pizza's hit novel.",,
1248,1,Banyuki,,"March 1, 2021",2009,TV-PG,"In this stage performance filmed for the big screen, an innocent man seeks revenge after breaking free of the prison he was held in for ten years.",182.0,
1249,1,Biggie: I Got a Story to Tell,United States,"March 1, 2021",2021,R,"Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king.",98.0,
1250,1,Blanche Gardin: The All-Nighter,,"March 1, 2021",2021,TV-MA,"With self-deprecating humor, French comic Blanche Gardin offers stream-of-consciousness observations on environmentalism, gender relations and herself.",96.0,
1251,1,Connected,,"March 1, 2021",2021,TV-G,"Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón.",42.0,
